노선번호,기점,종점,노선아이디,지역명,노선유형명
100,사기막골,가락시장.가락시장역,234000873,"구리,남양주,서울",직행좌석형시내버스
100,사기막골,가락시장.가락시장역,225000004,"군포,의왕",일반형시내버스
100,사기막골,가락시장.가락시장역,228000396,용인,일반형시내버스
100,사기막골,가락시장.가락시장역,215000030,연천,일반형시내버스
100,사기막골,가락시장.가락시장역,218000133,고양,일반형시내버스
100,사기막골,가락시장.가락시장역,204000018,"서울,성남",일반형시내버스
100,사기막골,가락시장.가락시장역,236000243,포천,일반형시내버스
100,사기막골,가락시장.가락시장역,231000045,안성,일반형시내버스
100,사기막골,가락시장.가락시장역,241408001,하남,마을버스
100,사기막골,가락시장.가락시장역,241359003,오산,마을버스
100,사기막골,가락시장.가락시장역,241491010,화성,마을버스
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,"서울,성남",일반형시내버스
101,오리역,수서역5번출구,217000002,안산,일반형시내버스
101,오리역,수서역5번출구,213000016,"광명,서울,안양",일반형시내버스
101,오리역,수서역5번출구,228000402,"안성,용인,이천",일반형시내버스
101,오리역,수서역5번출구,228000179,"서울,성남",일반형시내버스
101,오리역,수서역5번출구,232000032,김포,일반형시내버스
101,오리역,수서역5번출구,241451019,양주,마을버스
103,도촌동9단지앞,사당역(중),228000149,"용인,이천",일반형시내버스
103,도촌동9단지앞,사당역(중),204000060,"과천,서울,성남,안양,의왕",일반형시내버스
200,도촌동행정복지센터,거여역5번출구,229000028,"고양,서울,파주",직행좌석형시내버스
200,도촌동행정복지센터,거여역5번출구,213000029,"광명,서울",좌석형시내버스
200,도촌동행정복지센터,거여역5번출구,236000247,포천,일반형시내버스
200,도촌동행정복지센터,거여역5번출구,204000029,"서울,성남,하남",일반형시내버스
200,도촌동행정복지센터,거여역5번출구,233000268,화성,일반형시내버스
200,도촌동행정복지센터,거여역5번출구,234001689,이천,일반형시내버스
210,남위례역.성남여성인력개발센터,위례119안전센터.위례포레스트부영,204000180,"성남,하남",일반형시내버스
210,남위례역.성남여성인력개발센터,위례119안전센터.위례포레스트부영,234001688,이천,일반형시내버스
210,남위례역.성남여성인력개발센터,위례119안전센터.위례포레스트부영,233000395,화성,일반형시내버스
220,영원무역,한국학중앙연구원,230000180,이천,일반형시내버스
220,영원무역,한국학중앙연구원,233000394,화성,일반형시내버스
220,영원무역,한국학중앙연구원,204000022,성남,일반형시내버스
231,(임시)금토동삼거리,복정역환승센터1번승강장,204000139,"서울,성남,하남",일반형시내버스
240,도촌동행정복지센터,남한산성입구,230000182,이천,일반형시내버스
240,도촌동행정복지센터,남한산성입구,204000032,성남,일반형시내버스
250,도촌동행정복지센터,궁내동.궁안마을,230000183,이천,일반형시내버스
250,도촌동행정복지센터,궁내동.궁안마을,204000048,성남,일반형시내버스
3-1,광주차고지,사기막골,205000003,"광주,성남",일반형시내버스
3-1,광주차고지,사기막골,233000027,화성,일반형시내버스
3-1,광주차고지,사기막골,231000062,안성,일반형시내버스
3-1,광주차고지,사기막골,232000088,김포,일반형시내버스
3-1,광주차고지,사기막골,236000218,포천,일반형시내버스
3-1,광주차고지,사기막골,240000192,양평,일반형농어촌버스
3-1,광주차고지,사기막골,241247003,안양,마을버스
3-1,광주차고지,사기막골,241215002,성남,마을버스
3-1,광주차고지,사기막골,241383002,군포,마을버스
3-1,광주차고지,사기막골,241455003,"동두천,양주",마을버스
300,오리역,은대미,216000060,"시흥,안산",직행좌석형시내버스
300,오리역,은대미,200000006,"군포,수원,안양,오산,의왕,평택,화성",좌석형시내버스
300,오리역,은대미,206000003,"광주,성남",일반형시내버스
300,오리역,은대미,214000177,평택,일반형시내버스
310,오리역,(임시)금토동삼거리,216000064,"안산,화성",일반형시내버스
310,오리역,(임시)금토동삼거리,204000163,성남,일반형시내버스
310,오리역,(임시)금토동삼거리,200000024,수원,일반형시내버스
315,(임시)금토동삼거리,복정역환승센터1번승강장,214000251,평택,일반형시내버스
315,(임시)금토동삼거리,복정역환승센터1번승강장,204000073,"서울,성남,하남",일반형시내버스
33,사기막골,율동공원,210000105,부천,일반형시내버스
33,사기막골,율동공원,234001663,광주,일반형시내버스
33,사기막골,율동공원,227000047,"서울,하남",일반형시내버스
33,사기막골,율동공원,236000066,"의정부,포천",일반형시내버스
33,사기막골,율동공원,224000062,시흥,일반형시내버스
33,사기막골,율동공원,204000020,성남,일반형시내버스
33,사기막골,율동공원,208000067,"안양,의왕",일반형시내버스
33,사기막골,율동공원,238000032,"동두천,연천",일반형농어촌버스
33,사기막골,율동공원,241358001,오산,마을버스
33,사기막골,율동공원,241424001,"성남,용인",마을버스
33-1,산성동,청구아파트,204000019,성남,일반형시내버스
33-1,산성동,청구아파트,224000063,시흥,일반형시내버스
33-1,산성동,청구아파트,233000010,화성,일반형시내버스
33-1,산성동,청구아파트,232000109,"고양,김포",일반형시내버스
33-1,산성동,청구아파트,234001693,광주,일반형시내버스
33-1,산성동,청구아파트,238000033,"동두천,연천",일반형농어촌버스
33-1,산성동,청구아파트,240000195,"남양주,양평",일반형농어촌버스
33-1,산성동,청구아파트,241350002,"남양주,서울",마을버스
33-1,산성동,청구아파트,241358002,오산,마을버스
330,산성동,운중초등학교,233000005,"군포,안산,화성",일반형시내버스
330,산성동,운중초등학교,204000039,성남,일반형시내버스
331,성남동대형주차장,고속철도수서역,204000084,"서울,성남,하남",일반형시내버스
333,자동차검사소.산성아파트,안양역,205000002,"성남,안양,의왕",직행좌석형시내버스
333,자동차검사소.산성아파트,안양역,241205019,"오산,화성",마을버스
340,판교대장로동측,영원무역,204000040,성남,일반형시내버스
341,운중동먹거리촌,청계산입구역,204000067,"서울,성남",일반형시내버스
342,영원무역,청계산옛골,204000159,성남,일반형시내버스
350,상대원차고지,한국학중앙연구원,217000012,"시흥,안산,안양",일반형시내버스
350,상대원차고지,한국학중앙연구원,204000044,성남,일반형시내버스
351,구미동차고지앞,(임시)금토동삼거리,204000182,성남,일반형시내버스
357,상대원차고지,삼부아파트,204000007,"서울,성남",일반형시내버스
370,고등마을아파트,백현동종점,231000005,"안성,평택",일반형시내버스
370,고등마을아파트,백현동종점,204000131,성남,일반형시내버스
375,사송동종점,운중고등학교,204000181,성남,일반형시내버스
380,동분당더퍼스트정문,판교대장초·중학교,231000118,"안성,평택",일반형시내버스
380,동분당더퍼스트정문,판교대장초·중학교,204000079,성남,일반형시내버스
382,성남동대형주차장,(임시)금토동삼거리,204000076,성남,일반형시내버스
390,사송동.종점,동백역.용인세브란스병원,204000051,"성남,용인",일반형시내버스
50,선경아파트,복정역환승센터1번승강장,204000012,"서울,성남",일반형시내버스
50,선경아파트,복정역환승센터1번승강장,210000001,"부천,서울",일반형시내버스
50,선경아파트,복정역환승센터1번승강장,218000145,고양,일반형시내버스
50,선경아파트,복정역환승센터1번승강장,216000075,"광명,시흥,안산,안양",일반형시내버스
