시/군/구,연도,월,노선,시종점,일시,시간,이용객수
성남시,2023,1,100,사기막골-가락시장.가락시장역,평일,05시~06시,22
성남시,2023,1,100,사기막골-가락시장.가락시장역,평일,06시~07시,54
성남시,2023,1,100,사기막골-가락시장.가락시장역,평일,07시~08시,7
성남시,2023,1,100,사기막골-가락시장.가락시장역,평일,08시~09시,83
성남시,2023,1,100,사기막골-가락시장.가락시장역,평일,09시~10시,12
성남시,2023,1,100,사기막골-가락시장.가락시장역,평일,10시~11시,1
성남시,2023,1,100,사기막골-가락시장.가락시장역,평일,11시~12시,21
성남시,2023,1,100,사기막골-가락시장.가락시장역,평일,12시~13시,16
성남시,2023,1,100,사기막골-가락시장.가락시장역,평일,13시~14시,7
성남시,2023,1,100,사기막골-가락시장.가락시장역,평일,14시~15시,21
성남시,2023,1,100,사기막골-가락시장.가락시장역,평일,15시~16시,26
성남시,2023,1,100,사기막골-가락시장.가락시장역,평일,16시~17시,7
성남시,2023,1,100,사기막골-가락시장.가락시장역,평일,17시~18시,25
성남시,2023,1,100,사기막골-가락시장.가락시장역,평일,18시~19시,44
성남시,2023,1,100출,산성역.포레스티아동문-남위례역.창곡교차로,평일,03시~04시,45
성남시,2023,1,100출,산성역.포레스티아동문-남위례역.창곡교차로,평일,04시~05시,5
성남시,2023,1,101,오리역-잠실광역환승센터,평일,00시~01시,36
성남시,2023,1,101,오리역-잠실광역환승센터,평일,05시~06시,31
성남시,2023,1,101,오리역-잠실광역환승센터,평일,06시~07시,91
성남시,2023,1,101,오리역-잠실광역환승센터,평일,07시~08시,351
성남시,2023,1,101,오리역-잠실광역환승센터,평일,08시~09시,538
성남시,2023,1,101,오리역-잠실광역환승센터,평일,09시~10시,257
성남시,2023,1,101,오리역-잠실광역환승센터,평일,10시~11시,146
성남시,2023,1,101,오리역-잠실광역환승센터,평일,11시~12시,130
성남시,2023,1,101,오리역-잠실광역환승센터,평일,12시~13시,127
성남시,2023,1,101,오리역-잠실광역환승센터,평일,13시~14시,133
성남시,2023,1,101,오리역-잠실광역환승센터,평일,14시~15시,165
성남시,2023,1,101,오리역-잠실광역환승센터,평일,15시~16시,139
성남시,2023,1,101,오리역-잠실광역환승센터,평일,16시~17시,228
성남시,2023,1,101,오리역-잠실광역환승센터,평일,17시~18시,327
성남시,2023,1,101,오리역-잠실광역환승센터,평일,18시~19시,483
성남시,2023,1,101,오리역-잠실광역환승센터,평일,19시~20시,304
성남시,2023,1,101,오리역-잠실광역환승센터,평일,20시~21시,325
성남시,2023,1,101,오리역-잠실광역환승센터,평일,21시~22시,244
성남시,2023,1,101,오리역-잠실광역환승센터,평일,22시~23시,142
성남시,2023,1,101,오리역-잠실광역환승센터,평일,23시~24시,68
성남시,2023,1,103,도촌동9단지앞-사당역(중),평일,00시~01시,93
성남시,2023,1,103,도촌동9단지앞-사당역(중),평일,05시~06시,56
성남시,2023,1,103,도촌동9단지앞-사당역(중),평일,06시~07시,211
성남시,2023,1,103,도촌동9단지앞-사당역(중),평일,07시~08시,599
성남시,2023,1,103,도촌동9단지앞-사당역(중),평일,08시~09시,821
성남시,2023,1,103,도촌동9단지앞-사당역(중),평일,09시~10시,465
성남시,2023,1,103,도촌동9단지앞-사당역(중),평일,10시~11시,224
성남시,2023,1,103,도촌동9단지앞-사당역(중),평일,11시~12시,125
성남시,2023,1,103,도촌동9단지앞-사당역(중),평일,12시~13시,162
성남시,2023,1,103,도촌동9단지앞-사당역(중),평일,13시~14시,232
성남시,2023,1,103,도촌동9단지앞-사당역(중),평일,14시~15시,204
성남시,2023,1,103,도촌동9단지앞-사당역(중),평일,15시~16시,291
성남시,2023,1,103,도촌동9단지앞-사당역(중),평일,16시~17시,342
성남시,2023,1,103,도촌동9단지앞-사당역(중),평일,17시~18시,525
성남시,2023,1,103,도촌동9단지앞-사당역(중),평일,18시~19시,500
성남시,2023,1,103,도촌동9단지앞-사당역(중),평일,19시~20시,439
성남시,2023,1,103,도촌동9단지앞-사당역(중),평일,20시~21시,304
성남시,2023,1,103,도촌동9단지앞-사당역(중),평일,21시~22시,307
성남시,2023,1,103,도촌동9단지앞-사당역(중),평일,22시~23시,209
성남시,2023,1,103,도촌동9단지앞-사당역(중),평일,23시~24시,79
성남시,2023,1,200,도촌동행정복지센터-위례로제비앙,평일,04시~05시,17
성남시,2023,1,200,도촌동행정복지센터-위례로제비앙,평일,05시~06시,54
성남시,2023,1,200,도촌동행정복지센터-위례로제비앙,평일,06시~07시,73
성남시,2023,1,200,도촌동행정복지센터-위례로제비앙,평일,07시~08시,83
성남시,2023,1,200,도촌동행정복지센터-위례로제비앙,평일,08시~09시,164
성남시,2023,1,200,도촌동행정복지센터-위례로제비앙,평일,09시~10시,100
성남시,2023,1,200,도촌동행정복지센터-위례로제비앙,평일,10시~11시,55
성남시,2023,1,200,도촌동행정복지센터-위례로제비앙,평일,11시~12시,78
성남시,2023,1,200,도촌동행정복지센터-위례로제비앙,평일,12시~13시,120
성남시,2023,1,200,도촌동행정복지센터-위례로제비앙,평일,13시~14시,63
성남시,2023,1,200,도촌동행정복지센터-위례로제비앙,평일,14시~15시,120
성남시,2023,1,200,도촌동행정복지센터-위례로제비앙,평일,15시~16시,92
성남시,2023,1,200,도촌동행정복지센터-위례로제비앙,평일,16시~17시,123
성남시,2023,1,200,도촌동행정복지센터-위례로제비앙,평일,17시~18시,112
성남시,2023,1,200,도촌동행정복지센터-위례로제비앙,평일,18시~19시,177
성남시,2023,1,200,도촌동행정복지센터-위례로제비앙,평일,19시~20시,97
성남시,2023,1,200,도촌동행정복지센터-위례로제비앙,평일,20시~21시,115
성남시,2023,1,200,도촌동행정복지센터-위례로제비앙,평일,21시~22시,86
성남시,2023,1,200,도촌동행정복지센터-위례로제비앙,평일,22시~23시,63
성남시,2023,1,200,도촌동행정복지센터-위례로제비앙,평일,23시~24시,19
성남시,2023,1,220,영원무역-운중동먹거리촌,평일,00시~01시,154
성남시,2023,1,220,영원무역-운중동먹거리촌,평일,04시~05시,90
성남시,2023,1,220,영원무역-운중동먹거리촌,평일,05시~06시,561
성남시,2023,1,220,영원무역-운중동먹거리촌,평일,06시~07시,907
성남시,2023,1,220,영원무역-운중동먹거리촌,평일,07시~08시,1929
성남시,2023,1,220,영원무역-운중동먹거리촌,평일,08시~09시,3549
성남시,2023,1,220,영원무역-운중동먹거리촌,평일,09시~10시,2025
성남시,2023,1,220,영원무역-운중동먹거리촌,평일,10시~11시,1656
성남시,2023,1,220,영원무역-운중동먹거리촌,평일,11시~12시,1309
성남시,2023,1,220,영원무역-운중동먹거리촌,평일,12시~13시,1647
성남시,2023,1,220,영원무역-운중동먹거리촌,평일,13시~14시,1619
성남시,2023,1,220,영원무역-운중동먹거리촌,평일,14시~15시,1722
성남시,2023,1,220,영원무역-운중동먹거리촌,평일,15시~16시,1980
성남시,2023,1,220,영원무역-운중동먹거리촌,평일,16시~17시,2292
성남시,2023,1,220,영원무역-운중동먹거리촌,평일,17시~18시,2683
성남시,2023,1,220,영원무역-운중동먹거리촌,평일,18시~19시,3356
성남시,2023,1,220,영원무역-운중동먹거리촌,평일,19시~20시,2175
성남시,2023,1,220,영원무역-운중동먹거리촌,평일,20시~21시,1533
성남시,2023,1,220,영원무역-운중동먹거리촌,평일,21시~22시,1650
성남시,2023,1,220,영원무역-운중동먹거리촌,평일,22시~23시,1292
성남시,2023,1,220,영원무역-운중동먹거리촌,평일,23시~24시,612
성남시,2023,1,231,기업성장센터-복정역환승센터1번승강장,평일,00시~01시,2
성남시,2023,1,231,기업성장센터-복정역환승센터1번승강장,평일,05시~06시,54
성남시,2023,1,231,기업성장센터-복정역환승센터1번승강장,평일,06시~07시,223
성남시,2023,1,231,기업성장센터-복정역환승센터1번승강장,평일,07시~08시,689
성남시,2023,1,231,기업성장센터-복정역환승센터1번승강장,평일,08시~09시,740
성남시,2023,1,231,기업성장센터-복정역환승센터1번승강장,평일,09시~10시,373
