시/군/구,연도,월,노선,시종점,일시,시간,이용객수
성남시,2023,1,100,사기막골-가락시장.가락시장역,주말,05시~06시,16
성남시,2023,1,100,사기막골-가락시장.가락시장역,주말,06시~07시,20
성남시,2023,1,100,사기막골-가락시장.가락시장역,주말,07시~08시,2
성남시,2023,1,100,사기막골-가락시장.가락시장역,주말,08시~09시,34
성남시,2023,1,100,사기막골-가락시장.가락시장역,주말,09시~10시,6
성남시,2023,1,100,사기막골-가락시장.가락시장역,주말,10시~11시,2
성남시,2023,1,100,사기막골-가락시장.가락시장역,주말,11시~12시,24
성남시,2023,1,100,사기막골-가락시장.가락시장역,주말,12시~13시,16
성남시,2023,1,100,사기막골-가락시장.가락시장역,주말,13시~14시,12
성남시,2023,1,100,사기막골-가락시장.가락시장역,주말,14시~15시,20
성남시,2023,1,100,사기막골-가락시장.가락시장역,주말,15시~16시,16
성남시,2023,1,100,사기막골-가락시장.가락시장역,주말,16시~17시,25
성남시,2023,1,100,사기막골-가락시장.가락시장역,주말,17시~18시,47
성남시,2023,1,100,사기막골-가락시장.가락시장역,주말,18시~19시,45
성남시,2023,1,101,오리역-잠실광역환승센터,주말,00시~01시,34
성남시,2023,1,101,오리역-잠실광역환승센터,주말,05시~06시,7
성남시,2023,1,101,오리역-잠실광역환승센터,주말,06시~07시,33
성남시,2023,1,101,오리역-잠실광역환승센터,주말,07시~08시,52
성남시,2023,1,101,오리역-잠실광역환승센터,주말,08시~09시,114
성남시,2023,1,101,오리역-잠실광역환승센터,주말,09시~10시,113
성남시,2023,1,101,오리역-잠실광역환승센터,주말,10시~11시,105
성남시,2023,1,101,오리역-잠실광역환승센터,주말,11시~12시,100
성남시,2023,1,101,오리역-잠실광역환승센터,주말,12시~13시,112
성남시,2023,1,101,오리역-잠실광역환승센터,주말,13시~14시,167
성남시,2023,1,101,오리역-잠실광역환승센터,주말,14시~15시,118
성남시,2023,1,101,오리역-잠실광역환승센터,주말,15시~16시,121
성남시,2023,1,101,오리역-잠실광역환승센터,주말,16시~17시,133
성남시,2023,1,101,오리역-잠실광역환승센터,주말,17시~18시,153
성남시,2023,1,101,오리역-잠실광역환승센터,주말,18시~19시,114
성남시,2023,1,101,오리역-잠실광역환승센터,주말,19시~20시,105
성남시,2023,1,101,오리역-잠실광역환승센터,주말,20시~21시,124
성남시,2023,1,101,오리역-잠실광역환승센터,주말,21시~22시,103
성남시,2023,1,101,오리역-잠실광역환승센터,주말,22시~23시,71
성남시,2023,1,101,오리역-잠실광역환승센터,주말,23시~24시,51
성남시,2023,1,103,도촌동9단지앞-사당역(중),주말,00시~01시,52
성남시,2023,1,103,도촌동9단지앞-사당역(중),주말,01시~02시,9
성남시,2023,1,103,도촌동9단지앞-사당역(중),주말,05시~06시,42
성남시,2023,1,103,도촌동9단지앞-사당역(중),주말,06시~07시,89
성남시,2023,1,103,도촌동9단지앞-사당역(중),주말,07시~08시,107
성남시,2023,1,103,도촌동9단지앞-사당역(중),주말,08시~09시,167
성남시,2023,1,103,도촌동9단지앞-사당역(중),주말,09시~10시,239
성남시,2023,1,103,도촌동9단지앞-사당역(중),주말,10시~11시,165
성남시,2023,1,103,도촌동9단지앞-사당역(중),주말,11시~12시,184
성남시,2023,1,103,도촌동9단지앞-사당역(중),주말,12시~13시,172
성남시,2023,1,103,도촌동9단지앞-사당역(중),주말,13시~14시,195
성남시,2023,1,103,도촌동9단지앞-사당역(중),주말,14시~15시,203
성남시,2023,1,103,도촌동9단지앞-사당역(중),주말,15시~16시,222
성남시,2023,1,103,도촌동9단지앞-사당역(중),주말,16시~17시,232
성남시,2023,1,103,도촌동9단지앞-사당역(중),주말,17시~18시,297
성남시,2023,1,103,도촌동9단지앞-사당역(중),주말,18시~19시,268
성남시,2023,1,103,도촌동9단지앞-사당역(중),주말,19시~20시,194
성남시,2023,1,103,도촌동9단지앞-사당역(중),주말,20시~21시,210
성남시,2023,1,103,도촌동9단지앞-사당역(중),주말,21시~22시,179
성남시,2023,1,103,도촌동9단지앞-사당역(중),주말,22시~23시,169
성남시,2023,1,103,도촌동9단지앞-사당역(중),주말,23시~24시,51
성남시,2023,1,200,도촌동행정복지센터-위례로제비앙,주말,04시~05시,5
성남시,2023,1,200,도촌동행정복지센터-위례로제비앙,주말,05시~06시,35
성남시,2023,1,200,도촌동행정복지센터-위례로제비앙,주말,06시~07시,50
성남시,2023,1,200,도촌동행정복지센터-위례로제비앙,주말,07시~08시,43
성남시,2023,1,200,도촌동행정복지센터-위례로제비앙,주말,08시~09시,23
성남시,2023,1,200,도촌동행정복지센터-위례로제비앙,주말,09시~10시,42
성남시,2023,1,200,도촌동행정복지센터-위례로제비앙,주말,10시~11시,39
성남시,2023,1,200,도촌동행정복지센터-위례로제비앙,주말,11시~12시,53
성남시,2023,1,200,도촌동행정복지센터-위례로제비앙,주말,12시~13시,67
성남시,2023,1,200,도촌동행정복지센터-위례로제비앙,주말,13시~14시,47
성남시,2023,1,200,도촌동행정복지센터-위례로제비앙,주말,14시~15시,68
성남시,2023,1,200,도촌동행정복지센터-위례로제비앙,주말,15시~16시,46
