노선번호,노선아이디,정류소아이디,정류소순번,정류소명,정류소번호,x,y
100,204000018,205000085,1,사기막골, 06148,127.1794167,37.4445167
100,204000018,205000033,2,영원무역, 06135,127.1778833,37.4439333
100,204000018,205000032,3,자동차검사소.산성아파트, 06134,127.1780833,37.4416333
100,204000018,205000038,4,궁전아파트.성지아파트, 06146,127.17875,37.4397167
100,204000018,205000037,5,근로자종합복지관, 06139,127.1785167,37.4383167
100,204000018,205000134,6,보통골동양공업사, 06142,127.1787833,37.4346667
100,204000018,205000133,7,스타타워.동방렌탈, 06132,127.1763167,37.4345
100,204000018,205000132,8,공단오거리.공단주유소, 06115,127.1734833,37.4345333
100,204000018,205000131,9,고려당사거리, 06109,127.1713833,37.43375
100,204000018,205000130,10,공단본부.샤니, 06093,127.1687,37.43275
100,204000018,205000129,11,상대원1동행정복지센터, 06075,127.1649167,37.433
100,204000018,205000128,12,대원터널앞사거리, 06064,127.16105,37.4335
100,204000018,205000127,13,상대원시장, 06048,127.1582667,37.4356167
100,204000018,205000011,14,상대원시장.새마을금고, 06053,127.1589833,37.4370167
100,204000018,205000010,15,현성아름빌아파트, 06065,127.1611833,37.4389833
100,204000018,205000009,16,대일초교.학년쇼핑, 06069,127.1630333,37.4407167
100,204000018,205000008,17,구서고.금상초교, 06076,127.1658,37.4423167
100,204000018,205000007,18,성남중원경찰서.e편한세상금빛그랑메종5단지후문, 06088,127.16785,37.4425167
100,204000018,205000168,19,신구대학.향군회관, 06082,127.166,37.4465667
100,204000018,205000167,20,금광1.2동행정복지센터.중원어린이도서관, 06071,127.1634167,37.4458833
100,204000018,205000166,21,단대쇼핑, 06056,127.1592,37.44495
100,204000018,204000006,22,단대오거리역.세이브존, 05109,127.1553,37.44445
100,204000018,204000005,23,성남우체국, 05097,127.15045,37.4421667
100,204000018,204000268,24,신흥역.종합시장, 05241,127.1462,37.4406833
100,204000018,204000119,25,성남시의료원.신흥1동행정복지센터, 05062,127.14005,37.4435
100,204000018,204000096,26,성남시여성비전센터.성남수정새마을금고.한국사회적기업진흥원, 05080,127.1373667,37.4427167
100,204000018,204000118,27,중앙파출소, 05054,127.1357667,37.4431333
100,204000018,204000117,28,태평오거리, 05051,127.13475,37.4453333
100,204000018,204000075,29,태평3동행정복지센터.태평초교, 05043,127.1322333,37.4455833
100,204000018,204000339,30,태평고개, 05329,127.1280833,37.4443667
100,204000018,204000022,31,수진리고개.태평고개, 05032,127.1272333,37.4446667
100,204000018,204000021,32,가천대역.가천대학교, 05030,127.1269333,37.4489333
100,204000018,204000020,33,복우물.웃말입구, 05031,127.1268167,37.4533167
100,204000018,204000227,34,복정파출소.복정캠퍼스맛집거리, 05205,127.1266667,37.4555
100,204000018,204000116,35,동서울대학교, 05141,127.1260833,37.4590333
100,204000018,204000115,36,복정초등학교, 05142,127.1262167,37.4617833
100,204000018,204000114,37,복정동행정복지센터, 05027,127.1266167,37.46625
100,204000018,123000329,38,복정역2번출구,,127.1268667,37.4691667
100,204000018,123000015,39,장지역.가든파이브(중),,127.1261833,37.4788833
