순번,관할관청,운행업체,노선번호,기점,종점,인가거리,인가대수,출퇴근배차,평일배차,주말배차,주중상행첫차,주중상행막차,주말상행첫차,주말상행막차,주중하행첫차,주중하행막차,주말하행첫차,주말하행막차,비고
1,성남시,성남시내버스,100,사기막골,가락시장.가락시장역,32.1,1,150,160,160,05:10,16:40,05:10,16:40,06:00,17:40,06:00,17:40,
2,성남시,성남시내버스,100출,산성역.포레스티아동문,남위례역.창곡교차로,32,1,0,0,0,03:10,03:10,00:00,00:00,04:00,04:00,,,
3,성남시,대원버스,101,오리역,수서역5번출구,44.1,10,15,30,45,05:00,22:10,05:00,22:10,06:10,23:25,06:10,23:25,
4,성남시,대원버스,103,도촌동9단지앞,사당역(중),61,11,18,40,40,05:00,21:50,05:00,21:50,06:10,23:20,06:10,23:20,
5,성남시,성남시내버스,200,도촌동행정복지센터,거여역5번출구,39.6,7,30,40,65,05:00,22:00,05:00,22:00,06:10,23:10,06:10,23:10,
6,성남시,성남시내버스,210,남위례역.성남여성인력개발센터,위례119안전센터.위례포레스트부영,11,7,15,25,40,05:00,22:00,05:00,22:00,05:25,22:25,05:25,22:25,
7,성남시,성남시내버스,220,영원무역,한국학중앙연구원,52.4,30,11,21,27,04:30,22:20,04:30,22:20,05:55,23:50,05:55,23:50,
8,성남시,성남시내버스,231,(임시)금토동삼거리,복정역환승센터1번승강장,47.8,12,15,25,37,04:50,22:20,04:50,22:20,06:00,23:25,06:00,23:25,
9,성남시,대명운수,240,도촌동행정복지센터,남한산성입구,25.1,14,7,9,11,05:00,23:00,05:00,23:00,05:35,23:40,05:35,23:40,
10,성남시,성남시내버스,250,도촌동행정복지센터,궁내동.궁안마을,31,16,12,22,25,04:55,22:30,04:55,22:30,05:40,23:10,05:40,23:10,
11,성남시,대원버스,3-1,광주차고지,사기막골,57.3,34,10,20,30,04:40,23:00,04:40,23:00,04:50,23:00,04:50,23:00,
12,성남시,대원버스,300,오리역,은대미,73.5,35,5,20,30,04:50,23:30,04:50,23:30,04:50,23:30,04:50,23:30,
