노선번호,기점,종점,노선아이디,노선번호,노선유형,노선유형명,지역명
100,사기막골,가락시장.가락시장역,204000018,100,13,일반형시내버스,"서울,성남"
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,100출,13,일반형시내버스,"서울,성남"
101,오리역,수서역5번출구,217000002,101,13,일반형시내버스,안산
101,오리역,수서역5번출구,213000016,101,13,일반형시내버스,"광명,서울,안양"
101,오리역,수서역5번출구,228000179,101,13,일반형시내버스,"서울,성남"
101,오리역,수서역5번출구,228000402,101,13,일반형시내버스,"안성,용인,이천"
101,오리역,수서역5번출구,232000032,101,13,일반형시내버스,김포
101,오리역,수서역5번출구,241451019,101,30,마을버스,양주
103,도촌동9단지앞,사당역(중),228000149,103,13,일반형시내버스,"용인,이천"
103,도촌동9단지앞,사당역(중),204000060,103,13,일반형시내버스,"과천,서울,성남,안양,의왕"
200,도촌동행정복지센터,거여역5번출구,229000028,200,11,직행좌석형시내버스,"고양,서울,파주"
200,도촌동행정복지센터,거여역5번출구,213000029,200,12,좌석형시내버스,"광명,서울"
200,도촌동행정복지센터,거여역5번출구,236000247,200,13,일반형시내버스,포천
200,도촌동행정복지센터,거여역5번출구,204000029,200,13,일반형시내버스,"서울,성남,하남"
200,도촌동행정복지센터,거여역5번출구,233000268,200,13,일반형시내버스,화성
200,도촌동행정복지센터,거여역5번출구,234001689,200,13,일반형시내버스,이천
210,남위례역.성남여성인력개발센터,위례119안전센터.위례포레스트부영,204000180,210,13,일반형시내버스,"성남,하남"
210,남위례역.성남여성인력개발센터,위례119안전센터.위례포레스트부영,234001688,210,13,일반형시내버스,이천
210,남위례역.성남여성인력개발센터,위례119안전센터.위례포레스트부영,233000395,210,13,일반형시내버스,화성
220,영원무역,한국학중앙연구원,230000180,220,13,일반형시내버스,이천
220,영원무역,한국학중앙연구원,233000394,220,13,일반형시내버스,화성
220,영원무역,한국학중앙연구원,204000022,220,13,일반형시내버스,성남
231,(임시)금토동삼거리,복정역환승센터1번승강장,204000139,231,13,일반형시내버스,"서울,성남,하남"
240,도촌동행정복지센터,남한산성입구,230000182,240,13,일반형시내버스,이천
