노선,시종점,,,,,,,,,노선번호,기점,종점,노선아이디
2,서울대병원-현대중공업R&D센터,,,,,,,,,,,,
3,판교역북편-요한성당,,,,,,,,,,,,
6,상대원차고지-남한산성입구,,,,,,,,,6,상대원차고지,남한산성입구.양지파출소,204000004
7,보바스기념병원-서울대병원,,,,,,,,,,,,
7,상대원1동행정복지센터-신흥역4번출구(마을),,,,,,,,,,,,
8,목련마을SK아파트(마을)-장애인복지센터,,,,,,,,,,,,
10,신흥역.종합시장(마을)-남한산성입구,,,,,,,,,,,,
19,서울대병원-정자역,,,,,,,,,,,,
32,미금역.청솔마을.2001아울렛-분당구청.서현역,,,,,,,,,,,,
33,사기막골-율동공원,,,,,,,,,33,사기막골,율동공원,204000020
37,미금역.청솔마을.2001아울렛-판교대장초·중학교,,,,,,,,,,,,
50,차고지대기(경유)-복정역환승센터1번승강장,,,,,,,,,50,선경아파트,복정역환승센터1번승강장,204000012
51,사기막골-서울대병원,,,,,,,,,51,사기막골,서울대병원,204000021
52,성남동대형주차장-남한산성(종점),,,,,,,,,,,,
53,남위례역-남한산성(종점),,,,,,,,,,,,
55,기업성장센터-남한산성입구.양지파출소,,,,,,,,,55,(임시)금토동삼거리,남한산성입구.양지파출소,204000017
57,선경아파트-세곡동사거리,,,,,,,,,57,선경아파트,세곡동사거리,204000005
60,차고지대기(경유)-복정역환승센터1번승강장,,,,,,,,,60,차고지대기(경유),복정역환승센터1번승강장,204000013
66,고등동우체국.성남농협대왕지점-늘푸른고등학교,,,,,,,,,,,,
71,백현마을8단지-원마을13단지,,,,,,,,,,,,
73,판교역남편-판교풍경채5단지,,,,,,,,,,,,
75,야탑역.종합버스터미널(전면)-산운마을12단지,,,,,,,,,,,,
76,백현마을8단지-태평역.새소망병원(마을),,,,,,,,,,,,
77,봉국사-가천대역(마을),,,,,,,,,,,,
78,가천대역(마을)-성남시의료원정문,,,,,,,,,,,,
82,목련마을SK아파트(마을)-판교역북편,,,,,,,,,,,,
86,성남동대형주차장-남위례역,,,,,,,,,,,,
87,성남동대형주차장-사기막골,,,,,,,,,,,,
88,능실마을21단지.수원여대입구-영원무역,,,,,,,,,,,,
100,사기막골-가락시장.가락시장역,,,,,,,,,100,사기막골,가락시장.가락시장역,204000018
101,오리역-잠실광역환승센터,,,,,,,,,101,오리역,수서역5번출구,228000179
103,도촌동9단지앞-사당역(중),,,,,,,,,103,도촌동9단지앞,사당역(중),204000060
105,정자역-현대중공업R&D센터,,,,,,,,,,,,
107,더샵판교퍼스트파크-판교역동편,,,,,,,,,,,,
109,정자역(마을)-정자역(마을),,,,,,,,,,,,
111,정자역-서울대병원,,,,,,,,,,,,
115,롯데백화점-주택단지상가앞,,,,,,,,,,,,
117,더샵판교퍼스트파크-KT(마을),,,,,,,,,,,,
200,도촌동행정복지센터-위례로제비앙,,,,,,,,,200,도촌동행정복지센터,거여역5번출구,204000029
220,영원무역-운중동먹거리촌,,,,,,,,,220,영원무역,한국학중앙연구원,204000022
231,기업성장센터-복정역환승센터1번승강장,,,,,,,,,231,(임시)금토동삼거리,복정역환승센터1번승강장,204000139
240,도촌동행정복지센터-남한산성입구,,,,,,,,,240,도촌동행정복지센터,남한산성입구,204000032
250,도촌동행정복지센터-궁내동.궁안마을,,,,,,,,,250,도촌동행정복지센터,궁내동.궁안마을,204000048
300,오리역-은대미,,,,,,,,,300,오리역,은대미,206000003
310,오리역-기업성장센터,,,,,,,,,310,오리역,(임시)금토동삼거리,204000163
315,기업성장센터-복정역환승센터1번승강장,,,,,,,,,315,(임시)금토동삼거리,복정역환승센터1번승강장,204000073
330,산성동-운중초등학교,,,,,,,,,330,산성동,운중초등학교,204000039
331,성남동대형주차장-고속철도수서역,,,,,,,,,331,성남동대형주차장,고속철도수서역,204000084
333,자동차검사소.산성아파트-안양역,,,,,,,,,,,,
340,판교대장로동측-차고지,,,,,,,,,340,판교대장로동측,영원무역,204000040
341,운중동먹거리촌-청계산입구역,,,,,,,,,341,운중동먹거리촌,청계산입구역,204000067
342,영원무역-청계산옛골,,,,,,,,,342,영원무역,청계산옛골,204000159
350,상대원차고지-한국학중앙연구원,,,,,,,,,350,상대원차고지,한국학중앙연구원,204000044
357,상대원차고지-삼정아파트,,,,,,,,,357,상대원차고지,삼부아파트,204000007
370,고등마을아파트-더샵판교퍼스트파크,,,,,,,,,370,고등마을아파트,백현동종점,204000131
380,도촌5단지정문-판교대장초·중학교,,,,,,,,,380,동분당더퍼스트정문,판교대장초·중학교,204000079
382,성남동대형주차장-기업성장센터,,,,,,,,,382,성남동대형주차장,(임시)금토동삼거리,204000076
390,사송동.종점-초당역,,,,,,,,,390,사송동.종점,동백역.용인세브란스병원,204000051
602,분당동행정복지센터-사송동.수자원공사(마을),,,,,,,,,,,,
810,그린빌리지-수진역.성호시장.성일중고입구,,,,,,,,,810,그린빌리지,수진역.성호시장.성일중고입구,204000174
811,도촌9단지후문-수진역.성호시장.성일중고입구,,,,,,,,,811,도촌9단지후문,수진역.성호시장.성일중고입구,204000173
3100,기업성장센터-우림아파트,,,,,,,,,,,,
3330,도촌동9단지앞-안양역,,,,,,,,,,,,
3500,오리역-케피코경기외국어고등학교,,,,,,,,,,,,
4103,판교대장로동측-서울역버스환승센터(5번승강장)(중),,,,,,,,,,,,
4500,사송동종점-수원버스터미널,,,,,,,,,,,,
8106,구미동차고지(경유)-상동역1번출구.부천터미널소풍.홈플러스,,,,,,,,,,,,
