연도,월,노선,노선아이디,기점,종점,일시,시간,이용객수,,,,,
2023,1,100,204000018,사기막골,가락시장.가락시장역,주말,05시~06시,16,,,,,
2023,1,100,204000018,사기막골,가락시장.가락시장역,주말,06시~07시,20,,,,,
2023,1,100,204000018,사기막골,가락시장.가락시장역,주말,07시~08시,2,,,,,
2023,1,100,204000018,사기막골,가락시장.가락시장역,주말,08시~09시,34,,,,,
2023,1,100,204000018,사기막골,가락시장.가락시장역,주말,09시~10시,6,,,,,
2023,1,100,204000018,사기막골,가락시장.가락시장역,주말,10시~11시,2,,,,,
2023,1,100,204000018,사기막골,가락시장.가락시장역,주말,11시~12시,24,,,,,
2023,1,100,204000018,사기막골,가락시장.가락시장역,주말,12시~13시,16,,,,,
2023,1,100,204000018,사기막골,가락시장.가락시장역,주말,13시~14시,12,,,,,
2023,1,100,204000018,사기막골,가락시장.가락시장역,주말,14시~15시,20,,,,,
2023,1,100,204000018,사기막골,가락시장.가락시장역,주말,15시~16시,16,,,,,
2023,1,100,204000018,사기막골,가락시장.가락시장역,주말,16시~17시,25,,,,,
2023,1,100,204000018,사기막골,가락시장.가락시장역,주말,17시~18시,47,,,,,
2023,1,100,204000018,사기막골,가락시장.가락시장역,주말,18시~19시,45,,,,,
2023,1,101,228000179,오리역,수서역5번출구,주말,00시~01시,34,,,,,
2023,1,101,228000179,오리역,수서역5번출구,주말,05시~06시,7,,,,,
2023,1,101,228000179,오리역,수서역5번출구,주말,06시~07시,33,,,,,
2023,1,101,228000179,오리역,수서역5번출구,주말,07시~08시,52,,,,,
2023,1,101,228000179,오리역,수서역5번출구,주말,08시~09시,114,,,,,
2023,1,101,228000179,오리역,수서역5번출구,주말,09시~10시,113,,,,,
2023,1,101,228000179,오리역,수서역5번출구,주말,10시~11시,105,,,,,
2023,1,101,228000179,오리역,수서역5번출구,주말,11시~12시,100,,,,,
2023,1,101,228000179,오리역,수서역5번출구,주말,12시~13시,112,,,,,
2023,1,101,228000179,오리역,수서역5번출구,주말,13시~14시,167,,,,,
2023,1,101,228000179,오리역,수서역5번출구,주말,14시~15시,118,,,,,
2023,1,101,228000179,오리역,수서역5번출구,주말,15시~16시,121,,,,,
2023,1,101,228000179,오리역,수서역5번출구,주말,16시~17시,133,,,,,
2023,1,101,228000179,오리역,수서역5번출구,주말,17시~18시,153,,,,,
2023,1,101,228000179,오리역,수서역5번출구,주말,18시~19시,114,,,,,
2023,1,101,228000179,오리역,수서역5번출구,주말,19시~20시,105,,,,,
2023,1,101,228000179,오리역,수서역5번출구,주말,20시~21시,124,,,,,
2023,1,101,228000179,오리역,수서역5번출구,주말,21시~22시,103,,,,,
2023,1,101,228000179,오리역,수서역5번출구,주말,22시~23시,71,,,,,
2023,1,101,228000179,오리역,수서역5번출구,주말,23시~24시,51,,,,,
2023,1,103,204000060,도촌동9단지앞,사당역(중),주말,00시~01시,52,,,,,
