연도,월,노선,노선아이디,기점,종점,일시,시간,이용객수,,,
2023,1,100,204000018,사기막골,가락시장.가락시장역,평일,05시~06시,22,,,
2023,1,100,204000018,사기막골,가락시장.가락시장역,평일,06시~07시,54,,,
2023,1,100,204000018,사기막골,가락시장.가락시장역,평일,07시~08시,7,,,
2023,1,100,204000018,사기막골,가락시장.가락시장역,평일,08시~09시,83,,,
2023,1,100,204000018,사기막골,가락시장.가락시장역,평일,09시~10시,12,,,
2023,1,100,204000018,사기막골,가락시장.가락시장역,평일,10시~11시,1,,,
2023,1,100,204000018,사기막골,가락시장.가락시장역,평일,11시~12시,21,,,
2023,1,100,204000018,사기막골,가락시장.가락시장역,평일,12시~13시,16,,,
2023,1,100,204000018,사기막골,가락시장.가락시장역,평일,13시~14시,7,,,
2023,1,100,204000018,사기막골,가락시장.가락시장역,평일,14시~15시,21,,,
2023,1,100,204000018,사기막골,가락시장.가락시장역,평일,15시~16시,26,,,
2023,1,100,204000018,사기막골,가락시장.가락시장역,평일,16시~17시,7,,,
2023,1,100,204000018,사기막골,가락시장.가락시장역,평일,17시~18시,25,,,
2023,1,100,204000018,사기막골,가락시장.가락시장역,평일,18시~19시,44,,,
2023,1,100출,204000083,산성역.포레스티아동문,남위례역.창곡교차로,평일,03시~04시,45,,,
2023,1,100출,204000083,산성역.포레스티아동문,남위례역.창곡교차로,평일,04시~05시,5,,,
2023,1,101,228000179,오리역,수서역5번출구,평일,00시~01시,36,,,
2023,1,101,228000179,오리역,수서역5번출구,평일,05시~06시,31,,,
2023,1,101,228000179,오리역,수서역5번출구,평일,06시~07시,91,,,
2023,1,101,228000179,오리역,수서역5번출구,평일,07시~08시,351,,,
2023,1,101,228000179,오리역,수서역5번출구,평일,08시~09시,538,,,
2023,1,101,228000179,오리역,수서역5번출구,평일,09시~10시,257,,,
2023,1,101,228000179,오리역,수서역5번출구,평일,10시~11시,146,,,
2023,1,101,228000179,오리역,수서역5번출구,평일,11시~12시,130,,,
2023,1,101,228000179,오리역,수서역5번출구,평일,12시~13시,127,,,
2023,1,101,228000179,오리역,수서역5번출구,평일,13시~14시,133,,,
2023,1,101,228000179,오리역,수서역5번출구,평일,14시~15시,165,,,
2023,1,101,228000179,오리역,수서역5번출구,평일,15시~16시,139,,,
2023,1,101,228000179,오리역,수서역5번출구,평일,16시~17시,228,,,
2023,1,101,228000179,오리역,수서역5번출구,평일,17시~18시,327,,,
2023,1,101,228000179,오리역,수서역5번출구,평일,18시~19시,483,,,
2023,1,101,228000179,오리역,수서역5번출구,평일,19시~20시,304,,,
2023,1,101,228000179,오리역,수서역5번출구,평일,20시~21시,325,,,
2023,1,101,228000179,오리역,수서역5번출구,평일,21시~22시,244,,,
2023,1,101,228000179,오리역,수서역5번출구,평일,22시~23시,142,,,
2023,1,101,228000179,오리역,수서역5번출구,평일,23시~24시,68,,,
2023,1,103,204000060,도촌동9단지앞,사당역(중),평일,00시~01시,93,,,
2023,1,103,204000060,도촌동9단지앞,사당역(중),평일,05시~06시,56,,,
2023,1,103,204000060,도촌동9단지앞,사당역(중),평일,06시~07시,211,,,
2023,1,103,204000060,도촌동9단지앞,사당역(중),평일,07시~08시,599,,,
2023,1,103,204000060,도촌동9단지앞,사당역(중),평일,08시~09시,821,,,
2023,1,103,204000060,도촌동9단지앞,사당역(중),평일,09시~10시,465,,,
2023,1,103,204000060,도촌동9단지앞,사당역(중),평일,10시~11시,224,,,
2023,1,103,204000060,도촌동9단지앞,사당역(중),평일,11시~12시,125,,,
2023,1,103,204000060,도촌동9단지앞,사당역(중),평일,12시~13시,162,,,
2023,1,103,204000060,도촌동9단지앞,사당역(중),평일,13시~14시,232,,,
2023,1,103,204000060,도촌동9단지앞,사당역(중),평일,14시~15시,204,,,
2023,1,103,204000060,도촌동9단지앞,사당역(중),평일,15시~16시,291,,,
2023,1,103,204000060,도촌동9단지앞,사당역(중),평일,16시~17시,342,,,
2023,1,103,204000060,도촌동9단지앞,사당역(중),평일,17시~18시,525,,,
