노선번호,기점,종점,노선아이디,노선유형,노선유형명,지역명,정류소아이디,정류소순번,정류소명,정류소번호,지역명,x좌표,y좌표
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,205000085,1,사기막골,06148,성남,127.1794167,37.4445167
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,205000033,2,영원무역,06135,성남,127.1778833,37.4439333
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,205000032,3,자동차검사소.산성아파트,06134,성남,127.1780833,37.4416333
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,205000038,4,궁전아파트.성지아파트,06146,성남,127.17875,37.4397167
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,205000037,5,근로자종합복지관,06139,성남,127.1785167,37.4383167
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,205000134,6,보통골동양공업사,06142,성남,127.1787833,37.4346667
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,205000133,7,스타타워.동방렌탈,06132,성남,127.1763167,37.4345
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,205000132,8,공단오거리.공단주유소,06115,성남,127.1734833,37.4345333
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,205000131,9,고려당사거리,06109,성남,127.1713833,37.43375
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,205000130,10,공단본부.샤니,06093,성남,127.1687,37.43275
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,205000129,11,상대원1동행정복지센터,06075,성남,127.1649167,37.433
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,205000128,12,대원터널앞사거리,06064,성남,127.16105,37.4335
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,205000127,13,상대원시장,06048,성남,127.1582667,37.4356167
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,205000011,14,상대원시장.새마을금고,06053,성남,127.1589833,37.4370167
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,205000010,15,현성아름빌아파트,06065,성남,127.1611833,37.4389833
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,205000009,16,대일초교.학년쇼핑,06069,성남,127.1630333,37.4407167
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,205000008,17,구서고.금상초교,06076,성남,127.1658,37.4423167
