노선번호,기점,종점,노선아이디,노선번호,노선유형,노선유형명,지역명,,,
100,사기막골,가락시장.가락시장역,204000018,100,13,일반형시내버스,"서울,성남",,,
100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083,100출,13,일반형시내버스,"서울,성남",,,
101,오리역,수서역5번출구,228000179,101,13,일반형시내버스,"서울,성남",,,
103,도촌동9단지앞,사당역(중),204000060,103,13,일반형시내버스,"과천,서울,성남,안양,의왕",,,
200,도촌동행정복지센터,거여역5번출구,204000029,200,13,일반형시내버스,"서울,성남,하남",,,
210,남위례역.성남여성인력개발센터,위례119안전센터.위례포레스트부영,204000180,210,13,일반형시내버스,"성남,하남",,,
220,영원무역,한국학중앙연구원,204000022,220,13,일반형시내버스,성남,,,
231,(임시)금토동삼거리,복정역환승센터1번승강장,204000139,231,13,일반형시내버스,"서울,성남,하남",,,
240,도촌동행정복지센터,남한산성입구,204000032,240,13,일반형시내버스,성남,,,
250,도촌동행정복지센터,궁내동.궁안마을,204000048,250,13,일반형시내버스,성남,,,
03월 01일,광주차고지,사기막골,205000003,03월 01일,13,일반형시내버스,"광주,성남",,,
300,오리역,은대미,206000003,300,13,일반형시내버스,"광주,성남",,,
310,오리역,(임시)금토동삼거리,204000163,310,13,일반형시내버스,성남,,,
315,(임시)금토동삼거리,복정역환승센터1번승강장,204000073,315,13,일반형시내버스,"서울,성남,하남",,,
33,사기막골,율동공원,204000020,33,13,일반형시내버스,성남,,,
Jan-33,산성동,청구아파트,204000019,Jan-33,13,일반형시내버스,성남,,,
330,산성동,운중초등학교,204000039,330,13,일반형시내버스,성남,,,
331,성남동대형주차장,고속철도수서역,204000084,331,13,일반형시내버스,"서울,성남,하남",,,
340,판교대장로동측,영원무역,204000040,340,13,일반형시내버스,성남,,,
341,운중동먹거리촌,청계산입구역,204000067,341,13,일반형시내버스,"서울,성남",,,
342,영원무역,청계산옛골,204000159,342,13,일반형시내버스,성남,,,
350,상대원차고지,한국학중앙연구원,204000044,350,13,일반형시내버스,성남,,,
351,구미동차고지앞,(임시)금토동삼거리,204000182,351,13,일반형시내버스,성남,,,
