노선번호_x,기점,종점,노선아이디,노선유형,노선유형명,지역명,정류소아이디,정류소순번,정류소명,정류소번호,지역명.1,x좌표,y좌표,정류소아이디2,통과노선수,상세위치,시내버스_경유노선번호,시외버스_경유노선번호
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000233,1,상대원차고지,6217,성남,127.1791,37.4356333,205000233,6,차고지앞,"302(서울),6(시내),303(서울),357(시내),4425(서울),350(시내)",해당없음
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000134,2,보통골동양공업사,6142,성남,127.1787833,37.4346667,205000134,15,OCI중앙연구소,"6(시내),100(시내),340(시내),357(시내),33(시내),4425(서울),9400(시내),302(서울),303(서울),220(시내),3-1(시내),350(시내),55(시내)",해당없음
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000036,3,벽산테크노피아.성남소각장,6137,성남,127.1783167,37.4317167,205000036,4,벽산테크노피아건너 / 선일테크노앞,"3-5(마을),31-3(시내),9400(시내),6(시내),31-2(시내),3-3(마을)",해당없음
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000035,4,공단본부입구.반포산업사거리,6127,성남,127.1745667,37.4313667,205000035,4,반포사거리 / 제일은행,"3-3(마을),3-5(마을),31-3(시내),9400(시내),31-2(시내),6(시내)",해당없음
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000090,5,상대원파출소.소방소,6099,성남,127.1691667,37.432,205000090,4,상대원소방파출소앞,"6(시내),3-3(마을),9400(시내),31-3(시내),31-2(시내)",해당없음
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000063,6,공단본부.샤니,6092,성남,127.1685167,37.4324667,205000063,9,샤니정문건너,"6(시내),382(시내),220(시내),3-5(마을),302(서울),303(서울),100(시내),3-1(시내),55(시내)",해당없음
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000062,7,고려당사거리,6108,성남,127.1715333,37.4335333,205000062,9,서울엔지니어링,"302(서울),303(서울),55(시내),100(시내),220(시내),3-5(마을),3-1(시내),6(시내),382(시내)",해당없음
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000061,8,공단오거리.공단주유소,6117,성남,127.1735667,37.43435,205000061,8,주유소건너,"3-1(시내),220(시내),6(시내),100(시내),55(시내),302(서울),303(서울),3-5(마을)",해당없음
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000060,9,스타타워.동방렌탈,6131,성남,127.1762833,37.4343333,205000060,14,대한교과서,"350(시내),4425(서울),302(서울),6(시내),357(시내),220(시내),303(서울),100(시내),100출(시내),55(시내),3-1(시내),33(시내),340(시내)",해당없음
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000059,10,보통골동양공업사,6140,성남,127.1789667,37.4351,205000059,15,동양공업사앞,"220(시내),357(시내),55(시내),100(시내),350(시내),100출(시내),33(시내),340(시내),3-1(시내),9400(시내),302(서울),303(서울),4425(서울),6(시내)",해당없음
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000058,11,근로자종합복지관,6138,성남,127.1787667,37.4385333,205000058,10,근로자종합복지관앞,"100(시내),100출(시내),9400(시내),220(시내),55(시내),340(시내),3-1(시내),33(시내),6(시내)",해당없음
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000057,12,궁전아파트.성지아파트,6143,성남,127.1790167,37.4399,205000057,10,궁전아파트앞,"220(시내),55(시내),100(시내),6(시내),33(시내),9400(시내),100출(시내),340(시내),3-1(시내)",해당없음
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000084,14,황송터널.은행1동,6116,성남,127.1739167,37.4523,205000084,3,황송터널,"88(마을),88-1(마을),6(시내),333(시내),51(시내)",해당없음
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000191,15,그린빌리지,6175,성남,127.1718833,37.45265,205000191,2,빌라건너,"810(시내),6(시내)",해당없음
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000056,16,태영빌라3동앞,6103,성남,127.1702833,37.4518333,205000056,2,태영빌라앞,"6(시내),810(시내)",해당없음
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000055,17,은행1동행정복지센터,6095,성남,127.1687667,37.4515833,205000055,2,한국유통앞,"810(시내),6(시내)",해당없음
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000054,18,생문약국,6085,성남,127.1677,37.4512833,205000054,2,생문약국앞,"810(시내),6(시내)",해당없음
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000053,19,메디칼약국,6079,성남,127.1661333,37.4509833,205000053,2,미래공인중개사,"810(시내),6(시내)",해당없음
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000052,20,은행동현대아파트,6070,성남,127.1636333,37.45045,205000052,5,현대A앞,"55(시내),810(시내),33(시내),6(시내),33-1(시내)",해당없음
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000051,21,금광시장.삼익아파트,6062,성남,127.161,37.45045,205000051,5,삼익아파트건너,"33-1(시내),810(시내),55(시내),33(시내),6(시내)",해당없음
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000050,22,남한산성입구역.법원검찰청,6059,성남,127.1601,37.4514833,205000050,11,남한산성입구역2번출구,"720-1A(시내),33-1(시내),반디2(시내),55(시내),6(시내),51(시내),333(시내),240(시내),452(서울),342(시내),30(시내)",해당없음
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000049,23,상원초교.성남중앙병원.양지동청소년문화의집,6211,성남,127.1618,37.4547833,205000049,10,KB국민은행 / 상원초교,"88-1(마을),240(시내),6(시내),10-2(마을),10(마을),720-1A(시내),333(시내),30(시내),9(시내),88(마을),55(시내),33-1(시내),51(시내),10-1(마을)",해당없음
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000048,24,은행시장.남한산성시장.은행동청소년문화의집,6214,성남,127.1643167,37.45775,205000048,10,우리은행,"30(시내),9(시내),720-1A(시내),452(서울),88(마을),88-1(마을),10(마을),33-1(시내),333(시내),240(시내),6(시내),55(시내),51(시내)",해당없음
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000047,25,을지대학교,6212,성남,127.1665167,37.4603,205000047,10,법원부동산앞,"88-1(마을),88(마을),452(서울),720-1A(시내),9(시내),33-1(시내),333(시내),6(시내),55(시내),240(시내),51(시내),30(시내)",5300신흥동-인.공(시외)
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000046,26,을지대학교.생활관,6215,성남,127.1679667,37.46145,205000046,10,을지대학교 건너,"88-1(마을),88(마을),33-1(시내),51(시내),720-1A(시내),240(시내),6(시내),55(시내),452(서울),333(시내),9(시내),30(시내)",해당없음
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000045,27,남한산성입구.양지파출소,6213,성남,127.1693167,37.4624667,205000045,11,네파,"9(시내),452(서울),6(시내),88(마을),88-1(마을),55(시내),33-1(시내),51(시내),반디2(시내),240(시내),720-1A(시내),30(시내),333(시내)",해당없음
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,204000136,28,남한산성입구,5131,성남,127.1695167,37.4630667,204000136,11,남한산성입구,"240(시내),51(시내),55(시내),반디2(시내),720-1A(시내),9(시내),6(시내),33-1(시내),88-1(마을),10(마을),88(마을),452(서울),30(시내),333(시내)",해당없음
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,204000135,29,을지대학교.생활관,5135,성남,127.1670333,37.4612833,204000135,10,생활관앞,"88(마을),10(마을),55(시내),88-1(마을),6(시내),333(시내),51(시내),30(시내),33-1(시내),452(서울),240(시내),720-1A(시내),9(시내)",해당없음
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,204000134,30,을지대학교,5129,성남,127.1660333,37.4604667,204000134,10,을지대학교앞,"88-1(마을),33-1(시내),10(마을),88(마을),240(시내),55(시내),720-1A(시내),9(시내),51(시내),333(시내),30(시내),452(서울),6(시내)",5300신흥동-인.공(시외)
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,204000133,31,은행시장.남한산성시장.은행동청소년문화의집,5134,성남,127.1644,37.4586333,204000133,10,서울하나치과,"55(시내),720-1A(시내),452(서울),10(마을),88-1(마을),88(마을),240(시내),9(시내),333(시내),33-1(시내),6(시내),30(시내),51(시내)",해당없음
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,204000132,32,상원초등학교.양지동청소년문화의집,5125,성남,127.1619167,37.4557,204000132,10,한성교회,"452(서울),333(시내),55(시내),30(시내),240(시내),9(시내),6(시내),720-1A(시내),51(시내),33-1(시내),10-2(마을),10-1(마을),10(마을),88-1(마을),88(마을)",해당없음
