연도,관할지역,버스유형,정류소ID,정류소번호,정류소명,통과노선수,정류소아이디,정류소명2,정류소번호2,x좌표,y좌표,행정동,정류장명,상세위치,시내버스_경유노선번호,시외버스_경유노선번호
2023,성남시,일반,206000535,7492,판교역.낙생육교.현대백화점,21,206000535,판교역.낙생육교.현대백화점,7492,127.1117,37.3914833,백현동,판교역.낙생육교.현대백화점,판교휴먼시아5단지A,"8201(시내),7007-1(시내),103(시내),G8110(시내),8106(시내),9401(서울),8100(시내),1150(시내),9300(시내),3330(시내),9000(시내),1005(시내),341(시내),6801(시내),3500(시내),521(시내),1151(시내),1500-2(시내),9000-1(시내)",해당없음
2023,성남시,일반,206000236,7077,수내역.정자아이파크,4,206000236,수내역.정자아이파크,7077,127.1109,37.3764333,수내1동,수내역.정자아이파크,아이파크,"117(마을),220(시내),370(시내),310(시내),1303(시내)",해당없음
2023,성남시,일반,206000618,7560,이매촌한신.서현역.AK프라자,4,206000618,이매촌한신.서현역.AK프라자,7560,127.1258333,37.3868667,서현1동,이매촌한신.서현역.AK프라자,한신A건너,"33(시내),3(마을),602-1A(마을),3-1(마을),602(마을),32(마을),102(시내),7007-1(시내)",해당없음
2023,성남시,일반,205000368,6345,모란역5번출구,11,205000368,모란역5번출구,6345,127.1289667,37.4309,성남동,모란역5번출구,모란역5번출구,"330(시내),357(시내),315(시내),220(시내),88(마을),87(마을),86(마을),331(시내),340(시내),33(시내),51(시내),76(마을),382(시내),350(시내),9(시내)",해당없음
2023,성남시,일반,206000518,7347,국군수도병원정문,1,206000518,국군수도병원정문,7347,127.14945,37.3907167,서현1동,국군수도병원정문,국군수도병원,누리2(시내),해당없음
2023,성남시,일반,206000646,7820,힐스테이트판교엘포레6단지후문,5,206000646,힐스테이트판교엘포레6단지.판교SK뷰테라스,7820,127.0683167,37.3737,운중동,힐스테이트판교엘포레6단지후문,대장동 힐스테이트판교엘포레6단지후문,"32(마을),73(마을),4103(시내),9409(서울),9507(시내),310(시내),340(시내)",해당없음
2023,성남시,일반,206000633,7575,백현마을5단지,2,206000633,백현마을5단지,7575,127.1127167,37.3909667,백현동,백현마을5단지,판교휴먼시아5단지A,"71(마을),66(마을),누리2(시내),390(시내)",해당없음
2023,성남시,일반,206000622,7565,백현마을4단지상가,2,206000622,백현마을4단지상가,7565,127.1147833,37.3880833,백현동,백현마을4단지상가,나이스프라자,"720-2(시내),76(마을),602-1A(마을),누리2(시내)",해당없음
2023,성남시,일반,204000194,5172,웃논골앞,4,204000194,웃논골앞,5172,127.1610333,37.4654833,단대동,웃논골앞,남한산성 올라가는길,"9(시내),53(시내),9-1(시내),52(시내)",해당없음
2023,성남시,일반,204000201,5298,위례힐스테이트후문.위례한빛초등학교,3,204000201,힐스테이트위례후문.위례한빛초등학교,5298,127.1468167,37.4646667,복정동,위례힐스테이트후문.위례한빛초등학교,위례힐스테이트앞,"60(시내),200(시내)",해당없음
