노선번호_x,기점,종점,노선아이디,노선유형,노선유형명,지역명,정류소아이디,정류소순번,정류소명,정류소번호,지역명.1,x좌표,y좌표,,,,,i,,,,,,
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000233,1,상대원차고지,6217,성남,127.1791,37.4356333,,,,,,,,204000004,6,6,204000004
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000134,2,보통골동양공업사,6142,성남,127.1787833,37.4346667,,,,,,,,204000020,33,33,204000020
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000036,3,벽산테크노피아.성남소각장,6137,성남,127.1783167,37.4317167,,,,,,,,204000012,50,50,204000012
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000035,4,공단본부입구.반포산업사거리,6127,성남,127.1745667,37.4313667,,,,,,,,204000021,51,51,204000021
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000090,5,상대원파출소.소방소,6099,성남,127.1691667,37.432,,,,,,,,204000017,55,55,204000017
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000063,6,공단본부.샤니,6092,성남,127.1685167,37.4324667,,,,,,,,204000005,57,57,204000005
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000062,7,고려당사거리,6108,성남,127.1715333,37.4335333,,,,,,,,204000013,60,60,204000013
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000061,8,공단오거리.공단주유소,6117,성남,127.1735667,37.43435,,,,,,,,204000018,100,100,204000018
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000060,9,스타타워.동방렌탈,6131,성남,127.1762833,37.4343333,,,,,,,,228000179,101,101,228000179
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000059,10,보통골동양공업사,6140,성남,127.1789667,37.4351,,,,,,,,204000060,103,103,204000060
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000058,11,근로자종합복지관,6138,성남,127.1787667,37.4385333,,,,,,,,204000029,200,200,204000029
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000057,12,궁전아파트.성지아파트,6143,성남,127.1790167,37.4399,,,,,,,,204000022,220,220,204000022
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,277102615,13,사기막골(경유),,성남,127.1791,37.4449833,,,,,,,,204000139,231,231,204000139
