연도,월,시간,이용객수,순위,노선,노선아이디,기점,종점,배차간격(토요일)(분),배차간격(일요일)(분),첫차시간,막차시간
2023,1,00시~01시,34,9,101,228000179,오리역,수서역5번출구,45,45,0500,2210
2023,1,00시~01시,52,6,103,204000060,도촌동9단지앞,사당역(중),40,40,0500,2150
2023,1,00시~01시,111,3,220,204000022,영원무역,한국학중앙연구원,27,27,0430,2220
2023,1,00시~01시,1,18,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,37,37,0450,2220
2023,1,00시~01시,246,1,300,206000003,오리역,은대미,30,30,0450,2330
2023,1,00시~01시,7,11,310,204000163,오리역,(임시)금토동삼거리,25,25,0500,2230
2023,1,00시~01시,35,8,33,204000020,사기막골,율동공원,32,32,0420,2200
2023,1,00시~01시,18,10,340,204000040,판교대장로동측,영원무역,40,40,0440,2200
2023,1,00시~01시,2,16,342,204000159,영원무역,청계산옛골,45,45,0500,2200
2023,1,00시~01시,1,19,350,204000044,상대원차고지,한국학중앙연구원,12,12,0500,2230
2023,1,00시~01시,106,4,357,204000007,상대원차고지,삼부아파트,28,28,0500,2230
2023,1,00시~01시,3,15,382,204000076,성남동대형주차장,(임시)금토동삼거리,65,65,0500,2200
2023,1,00시~01시,1,20,390,204000051,사송동.종점,동백역.용인세브란스병원,40,40,0520,2300
2023,1,00시~01시,41,7,50,204000012,선경아파트,복정역환승센터1번승강장,22,22,0500,2230
2023,1,00시~01시,59,5,51,204000021,사기막골,서울대병원,23,23,0420,2200
2023,1,00시~01시,5,14,55,204000017,(임시)금토동삼거리,남한산성입구.양지파출소,37,37,0430,2200
2023,1,00시~01시,223,2,57,204000005,선경아파트,세곡동사거리,10,10,0500,2230
2023,1,00시~01시,7,12,60,204000013,차고지대기(경유),복정역환승센터1번승강장,37,37,0500,2200
2023,1,00시~01시,2,17,720-1A,204000151,오리역,남한산성입구.양지파출소,20,20,0500,2300
2023,1,00시~01시,6,13,누리1,204000145,성남시장례문화사업소,쇳골마을.궁내동톨게이트,33,33,0530,2230
2023,1,01시~02시,9,1,103,204000060,도촌동9단지앞,사당역(중),40,40,0500,2150
2023,1,04시~05시,5,11,200,204000029,도촌동행정복지센터,거여역5번출구,65,65,0500,2200
2023,1,04시~05시,72,3,220,204000022,영원무역,한국학중앙연구원,27,27,0430,2220
2023,1,04시~05시,8,9,250,204000048,도촌동행정복지센터,궁내동.궁안마을,25,25,0455,2230
2023,1,04시~05시,8,10,300,206000003,오리역,은대미,30,30,0450,2330
2023,1,04시~05시,71,4,33,204000020,사기막골,율동공원,32,32,0420,2200
2023,1,04시~05시,107,2,330,204000039,산성동,운중초등학교,25,25,0430,2200
2023,1,04시~05시,36,8,340,204000040,판교대장로동측,영원무역,40,40,0440,2200
2023,1,04시~05시,38,6,350,204000044,상대원차고지,한국학중앙연구원,12,12,0500,2230
2023,1,04시~05시,2,14,370,204000131,고등마을아파트,백현동종점,60,60,0500,2200
2023,1,04시~05시,5,12,380,204000079,동분당더퍼스트정문,판교대장초·중학교,45,45,0450,2200
2023,1,04시~05시,1,16,50,204000012,선경아파트,복정역환승센터1번승강장,22,22,0500,2230
2023,1,04시~05시,189,1,51,204000021,사기막골,서울대병원,23,23,0420,2200
2023,1,04시~05시,53,5,55,204000017,(임시)금토동삼거리,남한산성입구.양지파출소,37,37,0430,2200
2023,1,04시~05시,3,13,57,204000005,선경아파트,세곡동사거리,10,10,0500,2230
2023,1,04시~05시,2,15,60,204000013,차고지대기(경유),복정역환승센터1번승강장,37,37,0500,2200
2023,1,04시~05시,37,7,720-1A,204000151,오리역,남한산성입구.양지파출소,20,20,0500,2300
2023,1,04시~05시,1,17,누리3,204000147,뫼루니육교,럭키타운,33,33,0500,2200
2023,1,05시~06시,7,32,101,228000179,오리역,수서역5번출구,45,45,0500,2210
2023,1,05시~06시,42,20,103,204000060,도촌동9단지앞,사당역(중),40,40,0500,2150
2023,1,05시~06시,35,22,200,204000029,도촌동행정복지센터,거여역5번출구,65,65,0500,2200
2023,1,05시~06시,380,2,220,204000022,영원무역,한국학중앙연구원,27,27,0430,2220
2023,1,05시~06시,31,24,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,37,37,0450,2220
2023,1,05시~06시,46,18,240,204000032,도촌동행정복지센터,남한산성입구,11,11,0500,2300
2023,1,05시~06시,245,8,250,204000048,도촌동행정복지센터,궁내동.궁안마을,25,25,0455,2230
2023,1,05시~06시,322,4,300,206000003,오리역,은대미,30,30,0450,2330
2023,1,05시~06시,6,33,310,204000163,오리역,(임시)금토동삼거리,25,25,0500,2230
2023,1,05시~06시,35,23,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,35,35,0500,2200
2023,1,05시~06시,297,5,33,204000020,사기막골,율동공원,32,32,0420,2200
2023,1,05시~06시,363,3,330,204000039,산성동,운중초등학교,25,25,0430,2200
2023,1,05시~06시,49,17,331,204000084,성남동대형주차장,고속철도수서역,35,35,0500,2200
2023,1,05시~06시,143,11,340,204000040,판교대장로동측,영원무역,40,40,0440,2200
2023,1,05시~06시,108,13,341,204000067,운중동먹거리촌,청계산입구역,30,30,0450,2200
2023,1,05시~06시,17,29,342,204000159,영원무역,청계산옛골,45,45,0500,2200
2023,1,05시~06시,213,10,350,204000044,상대원차고지,한국학중앙연구원,12,12,0500,2230
2023,1,05시~06시,43,19,357,204000007,상대원차고지,삼부아파트,28,28,0500,2230
2023,1,05시~06시,22,27,370,204000131,고등마을아파트,백현동종점,60,60,0500,2200
2023,1,05시~06시,40,21,380,204000079,동분당더퍼스트정문,판교대장초·중학교,45,45,0450,2200
2023,1,05시~06시,14,31,382,204000076,성남동대형주차장,(임시)금토동삼거리,65,65,0500,2200
2023,1,05시~06시,54,15,390,204000051,사송동.종점,동백역.용인세브란스병원,40,40,0520,2300
2023,1,05시~06시,266,6,50,204000012,선경아파트,복정역환승센터1번승강장,22,22,0500,2230
2023,1,05시~06시,694,1,51,204000021,사기막골,서울대병원,23,23,0420,2200
2023,1,05시~06시,116,12,55,204000017,(임시)금토동삼거리,남한산성입구.양지파출소,37,37,0430,2200
2023,1,05시~06시,236,9,57,204000005,선경아파트,세곡동사거리,10,10,0500,2230
2023,1,05시~06시,25,26,6,204000004,상대원차고지,남한산성입구.양지파출소,13,13,0530,2240
2023,1,05시~06시,84,14,60,204000013,차고지대기(경유),복정역환승센터1번승강장,37,37,0500,2200
2023,1,05시~06시,248,7,720-1A,204000151,오리역,남한산성입구.양지파출소,20,20,0500,2300
2023,1,05시~06시,18,28,누리1,204000145,성남시장례문화사업소,쇳골마을.궁내동톨게이트,33,33,0530,2230
2023,1,05시~06시,53,16,누리2,204000146,사송동종점,국군수도병원,32,32,0630,2215
2023,1,05시~06시,26,25,누리3,204000147,뫼루니육교,럭키타운,33,33,0500,2200
2023,1,06시~07시,33,32,101,228000179,오리역,수서역5번출구,45,45,0500,2210
2023,1,06시~07시,89,20,103,204000060,도촌동9단지앞,사당역(중),40,40,0500,2150
2023,1,06시~07시,50,27,200,204000029,도촌동행정복지센터,거여역5번출구,65,65,0500,2200
2023,1,06시~07시,510,5,220,204000022,영원무역,한국학중앙연구원,27,27,0430,2220
2023,1,06시~07시,63,24,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,37,37,0450,2220
2023,1,06시~07시,102,18,240,204000032,도촌동행정복지센터,남한산성입구,11,11,0500,2300
2023,1,06시~07시,343,9,250,204000048,도촌동행정복지센터,궁내동.궁안마을,25,25,0455,2230
2023,1,06시~07시,798,2,300,206000003,오리역,은대미,30,30,0450,2330
2023,1,06시~07시,81,22,310,204000163,오리역,(임시)금토동삼거리,25,25,0500,2230
2023,1,06시~07시,56,25,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,35,35,0500,2200
2023,1,06시~07시,353,7,33,204000020,사기막골,율동공원,32,32,0420,2200
2023,1,06시~07시,499,6,330,204000039,산성동,운중초등학교,25,25,0430,2200
2023,1,06시~07시,76,23,331,204000084,성남동대형주차장,고속철도수서역,35,35,0500,2200
2023,1,06시~07시,149,12,340,204000040,판교대장로동측,영원무역,40,40,0440,2200
2023,1,06시~07시,107,17,341,204000067,운중동먹거리촌,청계산입구역,30,30,0450,2200
2023,1,06시~07시,31,33,342,204000159,영원무역,청계산옛골,45,45,0500,2200
2023,1,06시~07시,344,8,350,204000044,상대원차고지,한국학중앙연구원,12,12,0500,2230
2023,1,06시~07시,119,15,357,204000007,상대원차고지,삼부아파트,28,28,0500,2230
2023,1,06시~07시,6,35,370,204000131,고등마을아파트,백현동종점,60,60,0500,2200
2023,1,06시~07시,138,14,380,204000079,동분당더퍼스트정문,판교대장초·중학교,45,45,0450,2200
2023,1,06시~07시,51,26,382,204000076,성남동대형주차장,(임시)금토동삼거리,65,65,0500,2200
2023,1,06시~07시,82,21,390,204000051,사송동.종점,동백역.용인세브란스병원,40,40,0520,2300
2023,1,06시~07시,518,4,50,204000012,선경아파트,복정역환승센터1번승강장,22,22,0500,2230
2023,1,06시~07시,990,1,51,204000021,사기막골,서울대병원,23,23,0420,2200
2023,1,06시~07시,176,11,55,204000017,(임시)금토동삼거리,남한산성입구.양지파출소,37,37,0430,2200
2023,1,06시~07시,560,3,57,204000005,선경아파트,세곡동사거리,10,10,0500,2230
2023,1,06시~07시,109,16,6,204000004,상대원차고지,남한산성입구.양지파출소,13,13,0530,2240
2023,1,06시~07시,91,19,60,204000013,차고지대기(경유),복정역환승센터1번승강장,37,37,0500,2200
2023,1,06시~07시,222,10,720-1A,204000151,오리역,남한산성입구.양지파출소,20,20,0500,2300
2023,1,06시~07시,34,31,810,204000174,그린빌리지,수진역.성호시장.성일중고입구,35,35,0600,2300
2023,1,06시~07시,37,29,811,204000173,도촌9단지후문,수진역.성호시장.성일중고입구,40,40,0600,2300
2023,1,06시~07시,35,30,누리1,204000145,성남시장례문화사업소,쇳골마을.궁내동톨게이트,33,33,0530,2230
2023,1,06시~07시,147,13,누리2,204000146,사송동종점,국군수도병원,32,32,0630,2215
2023,1,06시~07시,47,28,누리3,204000147,뫼루니육교,럭키타운,33,33,0500,2200
2023,1,07시~08시,52,30,101,228000179,오리역,수서역5번출구,45,45,0500,2210
2023,1,07시~08시,107,19,103,204000060,도촌동9단지앞,사당역(중),40,40,0500,2150
2023,1,07시~08시,43,32,200,204000029,도촌동행정복지센터,거여역5번출구,65,65,0500,2200
2023,1,07시~08시,722,3,220,204000022,영원무역,한국학중앙연구원,27,27,0430,2220
2023,1,07시~08시,73,25,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,37,37,0450,2220
2023,1,07시~08시,123,17,240,204000032,도촌동행정복지센터,남한산성입구,11,11,0500,2300
2023,1,07시~08시,487,6,250,204000048,도촌동행정복지센터,궁내동.궁안마을,25,25,0455,2230
2023,1,07시~08시,1016,2,300,206000003,오리역,은대미,30,30,0450,2330
2023,1,07시~08시,56,28,310,204000163,오리역,(임시)금토동삼거리,25,25,0500,2230
2023,1,07시~08시,81,24,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,35,35,0500,2200
2023,1,07시~08시,454,7,33,204000020,사기막골,율동공원,32,32,0420,2200
2023,1,07시~08시,347,8,330,204000039,산성동,운중초등학교,25,25,0430,2200
2023,1,07시~08시,90,23,331,204000084,성남동대형주차장,고속철도수서역,35,35,0500,2200
2023,1,07시~08시,147,14,340,204000040,판교대장로동측,영원무역,40,40,0440,2200
2023,1,07시~08시,144,15,341,204000067,운중동먹거리촌,청계산입구역,30,30,0450,2200
2023,1,07시~08시,55,29,342,204000159,영원무역,청계산옛골,45,45,0500,2200
2023,1,07시~08시,327,10,350,204000044,상대원차고지,한국학중앙연구원,12,12,0500,2230
2023,1,07시~08시,123,18,357,204000007,상대원차고지,삼부아파트,28,28,0500,2230
2023,1,07시~08시,13,34,370,204000131,고등마을아파트,백현동종점,60,60,0500,2200
2023,1,07시~08시,107,20,380,204000079,동분당더퍼스트정문,판교대장초·중학교,45,45,0450,2200
2023,1,07시~08시,14,33,382,204000076,성남동대형주차장,(임시)금토동삼거리,65,65,0500,2200
2023,1,07시~08시,100,21,390,204000051,사송동.종점,동백역.용인세브란스병원,40,40,0520,2300
2023,1,07시~08시,662,4,50,204000012,선경아파트,복정역환승센터1번승강장,22,22,0500,2230
2023,1,07시~08시,1273,1,51,204000021,사기막골,서울대병원,23,23,0420,2200
2023,1,07시~08시,319,11,55,204000017,(임시)금토동삼거리,남한산성입구.양지파출소,37,37,0430,2200
2023,1,07시~08시,652,5,57,204000005,선경아파트,세곡동사거리,10,10,0500,2230
2023,1,07시~08시,199,12,6,204000004,상대원차고지,남한산성입구.양지파출소,13,13,0530,2240
2023,1,07시~08시,153,13,60,204000013,차고지대기(경유),복정역환승센터1번승강장,37,37,0500,2200
2023,1,07시~08시,340,9,720-1A,204000151,오리역,남한산성입구.양지파출소,20,20,0500,2300
