연도,월,시간,이용객수,순위,노선,노선아이디,기점,종점,배차간격(평일)(분),첫차시간,막차시간,,,,
2023,1,00시~01시,70,6,3-1,205000003,광주차고지,사기막골,10,0440,2300,,,205000003,3-1
2023,1,00시~01시,36,7,101,228000179,오리역,수서역5번출구,15,0500,2210,,,228000179,101
2023,1,00시~01시,93,4,103,204000060,도촌동9단지앞,사당역(중),18,0500,2150,,,204000060,103
2023,1,00시~01시,154,3,220,204000022,영원무역,한국학중앙연구원,11,0430,2220,,,204000022,220
2023,1,00시~01시,2,20,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,15,0450,2220,,,204000139,231
2023,1,00시~01시,3,18,240,204000032,도촌동행정복지센터,남한산성입구,7,0500,2300,,,204000032,240
2023,1,00시~01시,203,2,300,206000003,오리역,은대미,5,0450,2330,,,206000003,300
2023,1,00시~01시,11,11,310,204000163,오리역,(임시)금토동삼거리,10,0500,2230,,,204000163,310
2023,1,00시~01시,23,8,33,204000020,사기막골,율동공원,12,0420,2200,,,204000020,33
2023,1,00시~01시,16,10,340,204000040,판교대장로동측,영원무역,17,0440,2200,,,204000040,340
2023,1,00시~01시,4,17,350,204000044,상대원차고지,한국학중앙연구원,7,0500,2230,,,204000044,350
2023,1,00시~01시,88,5,357,204000007,상대원차고지,삼부아파트,15,0500,2230,,,204000007,357
2023,1,00시~01시,5,16,380,204000079,동분당더퍼스트정문,판교대장초·중학교,15,0450,2200,,,204000079,380
2023,1,00시~01시,8,14,390,204000051,사송동.종점,동백역.용인세브란스병원,15,0520,2300,,,204000051,390
2023,1,00시~01시,11,12,50,204000012,선경아파트,복정역환승센터1번승강장,7,0500,2230,,,204000012,50
2023,1,00시~01시,18,9,51,204000021,사기막골,서울대병원,5,0420,2200,,,204000021,51
2023,1,00시~01시,3,19,55,204000017,(임시)금토동삼거리,남한산성입구.양지파출소,12,0430,2200,,,204000017,55
2023,1,00시~01시,243,1,57,204000005,선경아파트,세곡동사거리,6,0500,2230,,,204000005,57
2023,1,00시~01시,1,22,60,204000013,차고지대기(경유),복정역환승센터1번승강장,15,0500,2200,,,204000013,60
2023,1,00시~01시,2,21,720-1A,204000151,오리역,남한산성입구.양지파출소,10,0500,2300,,,204000151,720-1A
2023,1,00시~01시,7,15,33-1,204000019,산성동,청구아파트,14,0410,2200,,,204000019,33-1
2023,1,00시~01시,9,13,누리1,204000145,성남시장례문화사업소,쇳골마을.궁내동톨게이트,17,0530,2230,,,204000145,누리1
2023,1,04시~05시,102,5,3-1,205000003,광주차고지,사기막골,10,0440,2300,,,204000029,200
2023,1,04시~05시,17,13,200,204000029,도촌동행정복지센터,거여역5번출구,30,0500,2200,,,204000048,250
2023,1,04시~05시,90,7,220,204000022,영원무역,한국학중앙연구원,11,0430,2220,,,204000039,330
2023,1,04시~05시,15,14,250,204000048,도촌동행정복지센터,궁내동.궁안마을,12,0455,2230,,,204000067,341
2023,1,04시~05시,11,15,300,206000003,오리역,은대미,5,0450,2330,,,204000073,315
2023,1,04시~05시,194,4,33,204000020,사기막골,율동공원,12,0420,2200,,,204000084,331
2023,1,04시~05시,294,2,330,204000039,산성동,운중초등학교,10,0430,2200,,,204000159,342
2023,1,04시~05시,53,9,340,204000040,판교대장로동측,영원무역,17,0440,2200,,,204000076,382
2023,1,04시~05시,2,17,341,204000067,운중동먹거리촌,청계산입구역,17,0450,2200,,,204000004,6
